season,plateNumber,qpcrDate,well,sample,assay,role,cq,copies
summer,four,2017-11-13,B5,,crab-hex,Standard,15.9912772035,1000000
summer,four,2017-11-13,B5,,shanny-fam,Standard,16.0734890923,1000000
summer,four,2017-11-13,B6,,crab-hex,Standard,22.0804091091,10000
summer,four,2017-11-13,B6,,shanny-fam,Standard,22.2571194708,10000
summer,four,2017-11-13,B7,,crab-hex,Standard,28.1936164072,100
summer,four,2017-11-13,B7,,shanny-fam,Standard,28.84185295,100
summer,four,2017-11-13,B8,,crab-hex,Standard,34.4128814632,1
summer,four,2017-11-13,B8,,shanny-fam,Standard,,1
summer,four,2017-11-13,C1,12h-T1,crab-hex,Unknown,30.5030799317,21.5483437242
summer,four,2017-11-13,C1,12h-T1,shanny-fam,Unknown,28.2591387879,154.6131999308
summer,four,2017-11-13,C2,12h-T3,crab-hex,Unknown,29.6181854359,40.9128972195
summer,four,2017-11-13,C2,12h-T3,shanny-fam,Unknown,27.3937825575,283.0946938676
summer,four,2017-11-13,C3,12h-T5,crab-hex,Unknown,,
summer,four,2017-11-13,C3,12h-T5,shanny-fam,Unknown,,
summer,four,2017-11-13,C4,12h-T7,crab-hex,Unknown,29.0238316508,62.9336976879
summer,four,2017-11-13,C4,12h-T7,shanny-fam,Unknown,27.3015897971,301.9378167718
summer,four,2017-11-13,C5,,crab-hex,Standard,15.6336952084,1000000
summer,four,2017-11-13,C5,,shanny-fam,Standard,15.7784607083,1000000
summer,four,2017-11-13,C6,,crab-hex,Standard,21.9663163761,10000
summer,four,2017-11-13,C6,,shanny-fam,Standard,22.337589047,10000
summer,four,2017-11-13,C7,,crab-hex,Standard,28.3394080903,100
summer,four,2017-11-13,C7,,shanny-fam,Standard,29.0995488501,100
summer,four,2017-11-13,C8,,crab-hex,Standard,35.1032427521,1
summer,four,2017-11-13,C8,,shanny-fam,Standard,35.8405867128,1
summer,four,2017-11-13,D1,12h-T2,crab-hex,Unknown,29.8833499013,33.761517162
summer,four,2017-11-13,D1,12h-T2,shanny-fam,Unknown,27.8590500117,204.5014627258
summer,four,2017-11-13,D2,12h-T4,crab-hex,Unknown,28.6031890049,85.3582002775
summer,four,2017-11-13,D2,12h-T4,shanny-fam,Unknown,27.1819797317,328.2660833089
